"cluid_mukey"	"profit12"	"profit14"
"2066302410366"	"399.12"	"-113.89"
"2066302410368"	"127.05"	"-252.96"
"2066302410372"	"399.12"	"-113.89"
"2066302410383"	"231.69"	"-199.48"
"2066302410393"	"-155.45"	"-397.37"
"2066302410395"	"116.55"	"-258.32"
"2066302410404"	"346.77"	"-140.63"
"2066302410406"	"-82.22"	"-359.94"
"2066302410408"	"420.01"	"-103.18"
"2066302410410"	"158.45"	"-236.90"
"2066302410420"	"263.09"	"-183.41"
"2067460410366"	"172.02"	"-28.64"
"2067460410372"	"172.02"	"-28.64"
"2067460410374"	"121.35"	"-63.81"
"2067460410408"	"178.22"	"-19.90"
"2067461410366"	"162.93"	"-38.11"
"2067461410372"	"162.93"	"-38.11"
"2067461410374"	"112.26"	"-73.28"
"2067461410408"	"169.13"	"-29.37"
"2067462410366"	"153.32"	"-48.11"
"2067462410372"	"153.32"	"-48.11"
"2067462410374"	"102.65"	"-83.28"
"2067462410408"	"159.52"	"-39.37"
"2067464410366"	"161.80"	"-39.28"
"2067464410372"	"161.80"	"-39.28"
"2067464410374"	"111.13"	"-74.45"
"2067464410404"	"130.13"	"-61.24"
"2067464410408"	"168.00"	"-30.54"
"2067467410366"	"478.43"	"-38.71"
"2067467410372"	"478.43"	"-38.71"
"2067467410374"	"404.90"	"-81.77"
"2067467410404"	"425.92"	"-65.63"
"2067468410366"	"462.07"	"-55.74"
"2067468410372"	"462.07"	"-55.74"
"2067468410374"	"388.54"	"-98.80"
"2067468410393"	"-94.25"	"-341.07"
"2067468410395"	"178.61"	"-201.11"
"2067468410404"	"409.56"	"-82.66"
"2067468410408"	"483.02"	"-44.96"
"2067468410410"	"220.64"	"-179.55"
"2067468410419"	"241.60"	"-168.80"
"2067468410420"	"325.61"	"-125.71"
"2067508410372"	"363.41"	"-93.86"
"2067508410408"	"384.30"	"-83.08"
"2067509410366"	"164.98"	"-35.98"
"2067509410372"	"164.98"	"-35.98"
"2067509410374"	"114.31"	"-71.15"
"2067509410404"	"133.31"	"-57.94"
"2067509410408"	"171.18"	"-27.24"
"2067509410410"	"19.57"	"-137.01"
"2067509410415"	"133.31"	"-57.94"
"2067613410366"	"446.11"	"-129.54"
"2067613410372"	"446.11"	"-129.54"
"2067613410404"	"393.60"	"-156.28"
"2067613410408"	"467.06"	"-118.83"
"2067617410366"	"451.56"	"-66.68"
"2067617410372"	"451.56"	"-66.68"
"2067617410374"	"378.03"	"-109.74"
"2067617410404"	"399.05"	"-93.60"
"2067617410408"	"472.51"	"-55.90"
"2067617410410"	"210.13"	"-190.49"
"2068056410366"	"382.03"	"-74.48"
"2068056410372"	"382.03"	"-74.48"
"2068056410404"	"329.68"	"-101.40"
"2068056410408"	"402.92"	"-63.70"
"2068056410410"	"141.36"	"-198.29"
"2068337410366"	"492.49"	"-24.08"
"2068337410372"	"492.49"	"-24.08"
